
Hub,H2 / Section,Page or Asset,Coverage,Best Current Live URL,Action,Optimize?,What to Change,Final URL,Old URL(s) to Redirect,Why This URL,Live Card Exists?
Spousal Maintenance Mediation,Types and Duration of Spousal Maintenance in Arizona,Temporary Spousal Maintenance Mediation,No Match,No suitable live URL,Create new,No,Flag “Need a page built” for the later content stage. Keep this required card visible but unlinked; do not assign or propose a URL in this task.,N/A — no eligible destination,N/A — URL decisions stay in Stage 3,"No current live page directly serves temporary spousal-maintenance mediation; the available 2025 general guide is dated and too broad. Using the parent hub, a broad guide, or an adjacent article would make this card look more specific than its destination.",Yes
Spousal Maintenance Mediation,Types and Duration of Spousal Maintenance in Arizona,Long-Term Spousal Maintenance Mediation,Partial,https://auritmediation.com/the-the-rule-of-65-spousal-maintenance-az/,Create new,Yes,"Keep this page as a content-improvement candidate. Expand it so it clearly owns long-term spousal-maintenance mediation, align the title/H1 with the final card title, add a contextual link back to Spousal Maintenance Mediation, and rerun Link-In before activating the card.",N/A — candidate not Link-In approved,N/A — URL decisions stay in Stage 3,"Its live title, “The Rule of 65 for Spousal Maintenance in Arizona,” is related, but it does not clearly own long-term spousal-maintenance mediation. It is useful for optimization, not a safe destination for this card today.",Yes
Spousal Maintenance Mediation,Types and Duration of Spousal Maintenance in Arizona,Spousal Maintenance for Long-Term Marriage,No Match,No suitable live URL,Create new,No,Flag “Need a page built” for the later content stage. Keep this required card visible but unlinked; do not assign or propose a URL in this task.,N/A — no eligible destination,N/A — URL decisions stay in Stage 3,"No current live page directly serves a long-term-marriage mediation path; the Rule of 65 page covers a specific calculation framework rather than this workflow. Using the parent hub, a broad guide, or an adjacent article would make this card look more specific than its destination.",Yes
Spousal Maintenance Mediation,How Spousal Maintenance Is Calculated: Income and Tax Factors,Spousal Maintenance for Self-Employed Spouses,No Match,No suitable live URL,Create new,No,Flag “Need a page built” for the later content stage. Keep this required card visible but unlinked; do not assign or propose a URL in this task.,N/A — no eligible destination,N/A — URL decisions stay in Stage 3,"No current live page directly serves self-employed-spouse maintenance issues; the available 2025 general guide is dated and too broad. Using the parent hub, a broad guide, or an adjacent article would make this card look more specific than its destination.",Yes
Spousal Maintenance Mediation,How Spousal Maintenance Is Calculated: Income and Tax Factors,How Spousal Maintenance Is Calculated in Arizona,Partial,https://auritmediation.com/spousal-support-alimony-mediation/calculator/,Keep & optimize,Yes,"Keep this page as a content-improvement candidate. Expand it so it clearly owns an explanation of how maintenance is calculated, not only a calculator, align the title/H1 with the final card title, add a contextual link back to Spousal Maintenance Mediation, and rerun Link-In before activating the card.",N/A — candidate not Link-In approved,N/A — URL decisions stay in Stage 3,"Its live title, “Arizona Alimony Calculator,” is related, but it does not clearly own an explanation of how maintenance is calculated, not only a calculator. It is useful for optimization, not a safe destination for this card today.",Yes
Spousal Maintenance Mediation,How Spousal Maintenance Is Calculated: Income and Tax Factors,High-Income Spousal Maintenance Mediation,No Match,No suitable live URL,Create new,No,Flag “Need a page built” for the later content stage. Keep this required card visible but unlinked; do not assign or propose a URL in this task.,N/A — no eligible destination,N/A — URL decisions stay in Stage 3,"No current live page directly serves high-income maintenance mediation; the available 2025 general guide is dated and too broad. Using the parent hub, a broad guide, or an adjacent article would make this card look more specific than its destination.",Yes
Spousal Maintenance Mediation,Spousal Maintenance for Different Marriage and Life Circumstances,Stay-at-Home Spouse Divorce Mediation,No Match,No suitable live URL,Create new,No,Flag “Need a page built” for the later content stage. Keep this required card visible but unlinked; do not assign or propose a URL in this task.,N/A — no eligible destination,N/A — URL decisions stay in Stage 3,"No current live page directly serves a gender-neutral stay-at-home-spouse mediation path. Using the parent hub, a broad guide, or an adjacent article would make this card look more specific than its destination.",Yes
Spousal Maintenance Mediation,Spousal Maintenance for Different Marriage and Life Circumstances,Spousal Maintenance After Retirement,No Match,No suitable live URL,Create new,No,Flag “Need a page built” for the later content stage. Keep this required card visible but unlinked; do not assign or propose a URL in this task.,N/A — no eligible destination,N/A — URL decisions stay in Stage 3,"No current live page directly serves maintenance after retirement; the Rule of 65 page covers a calculation framework rather than the requested mediation path. Using the parent hub, a broad guide, or an adjacent article would make this card look more specific than its destination.",No
Spousal Maintenance Mediation,"Modifying, Reviewing, or Ending Spousal Maintenance",Spousal Maintenance Modification Mediation,Partial,https://auritmediation.com/post-decree-mediation/,Keep & optimize,Yes,"Keep this page as a content-improvement candidate. Expand it so it clearly owns spousal-maintenance modification mediation, align the title/H1 with the final card title, add a contextual link back to Spousal Maintenance Mediation, and rerun Link-In before activating the card.",N/A — candidate not Link-In approved,N/A — URL decisions stay in Stage 3,"Its live title, “Post-Decree Mediation in Arizona,” is related, but it does not clearly own spousal-maintenance modification mediation. It is useful for optimization, not a safe destination for this card today. The post-decree page is also used for the related-service grid. This narrower modification card may use the same destination only if its group-level user path remains distinct after Link-In review.",Yes
Spousal Maintenance Mediation,Types and Duration of Spousal Maintenance in Arizona,The Three Questions Every Maintenance Conversation Answers,N/A — informational item,N/A — no outbound destination required,Keep as-is,No,Keep this as explanatory content. It should not look like a destination card or require an outbound internal link.,N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,This item answers a question within the hub and is not a navigational destination.,Yes
