Keyword,Target,Intent,Volume ,Difficulty,SERP Features,Notes / Opportunity
Divorce Mediation,Primary,Commercial,8100,53,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI Overview","Core Service Page Focus: This is the definitive, highest-volume primary keyword. It must be the anchor of the page title, H1, and the first 100 words of the body copy. The content must immediately validate Aurit's brand and unique selling propositions (e.g., flat-fee, child-centric, peaceful)."
divorce mediation arizona,Primary,Commercial,140,26,"Local pack, Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums","Local SEO Core Focus: Essential for the main service page and should be used in the H1, URL slug, and a prominent H2 section. This targets high-intent, location-specific commercial traffic."
divorce mediator,Secondary,Commercial,2900,39,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, Discussions and forums, Ads middle, AI Overview","Core Service Page Focus: A critical synonym/variant for the primary term. Use naturally in body copy, meta description, and subheadings (e.g., ""Why Choose an Aurit Divorce Mediator?"")."
divorce mediation services​,Secondary,Commercial,720,29,"Local pack, Sitelinks, Related searches","Core Service Page Focus: Use in a clear H2 to structure a section on the specific services offered (e.g., Financial, Parenting, Comprehensive Mediation) and reinforce the commercial intent."
affordable mediation for divorce,Secondary,,320,,,Core Service Page Focus: Use in subheadings and body copy to directly leverage Aurit's flat-fee model as a key differentiator. It addresses the 'Cost-Conscious Pragmatist' pain point of financial anxiety.
divorce mediation cost​,Secondary,"Informational, Commercial",880,11,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI Overview","Service Page Section (H2): Create a dedicated section titled ""Divorce Mediation Cost: Flat-Fee vs. Hourly Litigation."" This directly confronts the financial pain point and showcases Aurit's competitive advantage."
arizona divorce mediation process​,Secondary,,20,,,Core Service Page Focus: Use this technical/location-specific phrase in an H2 section that details Aurit’s step-by-step process for Arizona clients.
cost of divorce mediation in arizona,Secondary,,20,,,"Core Service Page Focus: A highly specific, high-commercial-intent, local variant. Should be used in a section title or a prominent subheading near the cost information."
arizona divorce mediation services​,Secondary,,10,,,"Core Service Page Focus: Natural, location-specific phrasing to use in a bulleted list of services or a clear call-to-action on the service page."
arizona divorce mediator,Secondary,,10,,,"Core Service Page Focus: Key local variant for the 'Divorce Mediator' term. Use it in an H2 (e.g., ""Meet Your Arizona Divorce Mediator"") to enhance local relevance."
