
Hub,H2 / Section,Page or Asset,Coverage,Best Current Live URL,Action,Optimize?,What to Change,Final URL,Old URL(s) to Redirect,Why This URL,Live Card Exists?
Child Support Mediation,"Arizona Child Support Guidelines, Calculations, and Preparation",Child Support Calculation Prep for Mediation,No Match,No suitable live URL,Create new,No,Flag “Need a page built” for the later content stage. Keep this required card visible but unlinked; do not assign or propose a URL in this task.,N/A — no eligible destination,N/A — URL decisions stay in Stage 3,"No current live page directly serves calculation preparation for mediation. Using the parent hub, a broad guide, or an adjacent article would make this card look more specific than its destination.",Yes
Child Support Mediation,"Arizona Child Support Guidelines, Calculations, and Preparation",Using the Arizona Child Support Calculator in Mediation,Full,https://auritmediation.com/child-support-mediation/calculator/,Keep & optimize,Yes,"Keep this page, then align its title/H1 with “Using the Arizona Child Support Calculator in Mediation” where needed, confirm it is self-canonical and evergreen, add a contextual link back to Child Support Mediation, and rerun Link-In before activating the card.",N/A — candidate not Link-In approved,N/A — URL decisions stay in Stage 3,"Its live title, “Arizona Child Support Calculator,” directly serves the Arizona child-support calculator. It is the strongest current candidate, but it is not approved until title, canonical, evergreen, and parent-return-link checks pass.",Yes
Child Support Mediation,"Arizona Child Support Guidelines, Calculations, and Preparation",What Income Counts for Child Support in Mediation,No Match,No suitable live URL,Create new,No,Flag “Need a page built” for the later content stage. Keep this required card visible but unlinked; do not assign or propose a URL in this task.,N/A — no eligible destination,N/A — URL decisions stay in Stage 3,"No current live page directly serves which income counts for support. Using the parent hub, a broad guide, or an adjacent article would make this card look more specific than its destination.",Yes
Child Support Mediation,Child Support Mediation for Complex Income and Employment,Self-Employed Income and Child Support Mediation,No Match,No suitable live URL,Create new,No,Flag “Need a page built” for the later content stage. Keep this required card visible but unlinked; do not assign or propose a URL in this task.,N/A — no eligible destination,N/A — URL decisions stay in Stage 3,"No current live page directly serves self-employed income in child-support mediation. Using the parent hub, a broad guide, or an adjacent article would make this card look more specific than its destination.",Yes
Child Support Mediation,Child Support Mediation for Complex Income and Employment,High-Income Child Support Mediation,No Match,No suitable live URL,Create new,No,Flag “Need a page built” for the later content stage. Keep this required card visible but unlinked; do not assign or propose a URL in this task.,N/A — no eligible destination,N/A — URL decisions stay in Stage 3,"No current live page directly serves high-income child-support mediation. Using the parent hub, a broad guide, or an adjacent article would make this card look more specific than its destination.",Yes
Child Support Mediation,"Child Support Modifications, Arrears, and Enforcement",Child Support Modification Mediation,Full,https://auritmediation.com/how-to-modify-child-support-in-az-through-mediation/,Keep & optimize,Yes,"Keep this page, then align its title/H1 with “Child Support Modification Mediation” where needed, confirm it is self-canonical and evergreen, add a contextual link back to Child Support Mediation, and rerun Link-In before activating the card.",N/A — candidate not Link-In approved,N/A — URL decisions stay in Stage 3,"Its live title, “How to Modify Child Support in AZ through Mediation,” directly serves child-support modification through mediation. It is the strongest current candidate, but it is not approved until title, canonical, evergreen, and parent-return-link checks pass.",Yes
Child Support Mediation,Child Support Mediation for Unmarried Parents,Child Support for Unmarried Parents Mediation,Partial,https://auritmediation.com/paternity-mediation/,Keep & optimize,Yes,"Keep this page as a content-improvement candidate. Expand it so it clearly owns child support for unmarried parents, not paternity alone, align the title/H1 with the final card title, add a contextual link back to Child Support Mediation, and rerun Link-In before activating the card.",N/A — candidate not Link-In approved,N/A — URL decisions stay in Stage 3,"Its live title, “Paternity Mediation in Arizona,” is related, but it does not clearly own child support for unmarried parents, not paternity alone. It is useful for optimization, not a safe destination for this card today.",Yes
Child Support Mediation,"Arizona Child Support Guidelines, Calculations, and Preparation",What Goes Into the Arizona Calculation,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Child Support Mediation,"Arizona Child Support Guidelines, Calculations, and Preparation",Child Support Input Worksheet,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Child Support Mediation,"Arizona Child Support Guidelines, Calculations, and Preparation",Deviating From Child Support Guidelines in Mediation,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Child Support Mediation,Child Support Mediation for Complex Income and Employment,Variable Income Child Support Mediation,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Child Support Mediation,Child Support Mediation for Complex Income and Employment,Child Support for Unemployed or Underemployed Parent,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Child Support Mediation,Child Support Mediation for Complex Income and Employment,Child Support After Job Loss Mediation,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Child Support Mediation,Child Support Mediation for Complex Income and Employment,Imputed Income in Child Support Mediation,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Child Support Mediation,"Childcare, Medical, and Other Child Expense Mediation",Medical Insurance and Child Support Mediation,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
