path,title,h1,word_count,template_family,canonical,meta_robots
/,Aurit Center - Divorce Mediation Experts & Consultants,"[""Arizona's Leading Divorce Mediators""]",1868,home,https://auritmediation.com/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/2025-arizona-spousal-maintenance-guide-understanding-alimony-laws-guidelines/,Arizona Spousal Maintenance Guide: Alimony Laws 2025,['2025 Arizona Spousal Maintenance Guide: Understanding Alimony Laws & Guidelines'],1759,post,https://auritmediation.com/2025-arizona-spousal-maintenance-guide-understanding-alimony-laws-guidelines/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/3-ways-parents-can-help-their-kids-adjust/,Helping Kids Adjust to Divorce | The Aurit Center for Divorce Mediation,['3 Ways Parents Can Help Their Kids Adjust'],2054,post,https://auritmediation.com/3-ways-parents-can-help-their-kids-adjust/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/5-fantastic-summer-break-tips-for-divorced-parents/,5 Fantastic Summer Break Tips for Divorced Parents,['5 Fantastic Summer Break Tips for Divorced Parents'],1920,post,https://auritmediation.com/5-fantastic-summer-break-tips-for-divorced-parents/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/8031-2/,The Evolution of Prenuptial Agreements: From Inequality to Empowerment,['The Evolution of Prenuptial Agreements: From Inequality to Empowerment'],1192,post,https://auritmediation.com/8031-2/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/a-mediators-legacy-the-true-story-of-lani-baron-and-michael-aurit/,A Mediator’s Legacy: The True Story of Lani Baron and Michael Aurit,['A Mediator’s Legacy: The True Story of Lani Baron and Michael Aurit'],1637,post,https://auritmediation.com/a-mediators-legacy-the-true-story-of-lani-baron-and-michael-aurit/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/about/,About Us | Your Trusted Experts in Divorce Mediation,['Meet the Leaders in Arizona Divorce'],1451,page,https://auritmediation.com/about/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/amicable-divorce/,10 Helpful Tips for an Amicable Divorce,['10 Helpful Tips for an Amicable Divorce'],2153,post,https://auritmediation.com/amicable-divorce/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/annulment-vs-divorce/,Annulment vs. Divorce: Your Complete Guide,['Annulment vs. Divorce: Your Complete Guide'],2193,post,https://auritmediation.com/annulment-vs-divorce/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/arizona-co-parenting-agreements/,Co-Parenting Agreements in Arizona: A Mediator’s Guide,['Co-Parenting Agreements in Arizona: A Mediator’s Guide'],2360,post,https://auritmediation.com/arizona-co-parenting-agreements/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/arizona-divorce-decree-enforcement/,How Arizona Courts Enforce Mediation Agreements: What You Need to Know,['How Arizona Courts Enforce Mediation Agreements: What You Need to Know'],1531,post,https://auritmediation.com/arizona-divorce-decree-enforcement/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/arizona-divorce-mediation-cost-2025/,Arizona Divorce Mediation Costs: Your Complete Pricing Guide 2025,['Arizona Divorce Mediation Costs: Your Complete Pricing Guide 2025'],1794,post,https://auritmediation.com/arizona-divorce-mediation-cost-2025/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/arizona-divorce-mediation-timeline/,Arizona Divorce Mediation Timeline: Start to Final Decree,['Arizona Divorce Mediation Timeline: Start to Final Decree'],2138,post,https://auritmediation.com/arizona-divorce-mediation-timeline/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/arizona-family-law-2025/,Significant Updates in Arizona Family Law for 2025,['2025 Arizona Family Law Updates'],762,post,https://auritmediation.com/arizona-family-law-2025/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/arizona-mediator-fees-whats-included/,Comparing Arizona Mediator Fees: What’s Included in the Price?,['Comparing Arizona Mediator Fees: What’s Included in the Price?'],1806,post,https://auritmediation.com/arizona-mediator-fees-whats-included/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/arizona-parenting-plan-playbook/,Arizona Parenting Plan Guide | The Aurit Center for Divorce Mediation,['Arizona Parenting Plan Playbook'],2073,post,https://auritmediation.com/arizona-parenting-plan-playbook/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/arizona-post-divorce-support-after-mediation/,Post-Divorce Support After Mediation: Your Rights in Arizona,['Post-Divorce Support After Mediation: Your Rights in Arizona'],1959,post,https://auritmediation.com/arizona-post-divorce-support-after-mediation/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/arizona/,Divorce Mediation Services in Arizona – Aurit Center Divorce Mediators | The Nation's Leading Experts,['Arizona Divorce Mediation'],320,page,https://auritmediation.com/arizona/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/arizona/service-areas/,Arizona Divorce Mediation Service Areas | The Aurit Center for Divorce Mediation,['Divorce Mediation Across Arizona'],1940,page,https://auritmediation.com/arizona/service-areas/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/arizona/service-areas/cochise-county/,Divorce Mediators in Cochise County | Aurit Mediation,['Cochise County Divorce Mediators'],1327,page,https://auritmediation.com/arizona/service-areas/cochise-county/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/arizona/service-areas/coconino-county/,Divorce Mediators in Coconino County | Aurit Mediation,['Coconino County Divorce Mediators'],1337,page,https://auritmediation.com/arizona/service-areas/coconino-county/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/arizona/service-areas/maricopa-county/,Divorce Mediators in Maricopa County | Aurit Mediation,['Maricopa County Divorce Mediator'],1574,page,https://auritmediation.com/arizona/service-areas/maricopa-county/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/arizona/service-areas/mohave-county/,Divorce Mediators in Mohave County | Aurit Mediation,['Mohave County Divorce Mediators'],1364,page,https://auritmediation.com/arizona/service-areas/mohave-county/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/arizona/service-areas/pima-county/,Divorce Mediators in Pima County | Aurit Mediation,['Pima County Divorce Mediators'],1165,page,https://auritmediation.com/arizona/service-areas/pima-county/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/arizona/service-areas/pinal-county/,Divorce Mediators in Pinal County | Aurit Mediation,['Pinal County Divorce Mediators'],1432,page,https://auritmediation.com/arizona/service-areas/pinal-county/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/arizona/service-areas/yavapai-county/,Divorce Mediators in Yavapai County | Aurit Mediation,['Yavapai County Divorce Mediators'],1328,page,https://auritmediation.com/arizona/service-areas/yavapai-county/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/arizona/service-areas/yuma-county/,Divorce Mediators in Yuma County | Aurit Mediation,['Yuma County Divorce Mediators'],1446,page,https://auritmediation.com/arizona/service-areas/yuma-county/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/best-therapists-in-arizona/,Best Therapist in Arizona | Aurit Mediation,['Best Therapists in Arizona'],5073,page,https://auritmediation.com/best-therapists-in-arizona/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/bezos-divorce-can-we-get-privacy/,The Bezos Divorce: Can We Get Some Privacy Please?,['The Bezos Divorce: Can We Get Some Privacy Please?'],1093,post,https://auritmediation.com/bezos-divorce-can-we-get-privacy/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/blog/,Divorce Insights from The Nation's Leading Experts,['Helpful resources to guide you'],2691,page,https://auritmediation.com/blog/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/california/,California Divorce Mediators | The Nation's Leading Experts,['California Divorce Mediation'],320,page,https://auritmediation.com/california/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/category/children-parents/,Introducing a New Partner to Your Co-Parent Before Your Kids,['Children & Co-Parenting'],442,category,https://auritmediation.com/category/children-parents/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/category/divorce-mediation/,Online Divorce Mediation: How Virtual Meetings Work,['Divorce Mediation'],442,category,https://auritmediation.com/category/divorce-mediation/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/category/finances-property/,2026 Arizona Divorce Cost Guide | The Aurit Center for Divorce Mediation,['Finances & Property Division'],457,category,https://auritmediation.com/category/finances-property/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/category/health-wellness/,How to Stay Calm: Tips on How to Stay Clam When Emotions Run High,['Marriage Health & Wellness'],486,category,https://auritmediation.com/category/health-wellness/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/category/insights/,Significant Updates in Arizona Family Law for 2025,['Insights'],443,category,https://auritmediation.com/category/insights/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/category/legal-separation/,Significant Updates in Arizona Family Law for 2025,['Legal Separation'],452,category,https://auritmediation.com/category/legal-separation/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
/category/spousal-support/,“The Rule of 65” for Spousal Maintenance in Arizona,['Spousal Support'],303,category,https://auritmediation.com/category/spousal-support/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
