Status,CU,Projects,Description,Impact,July,Aug,Sep,Oct,Nov,Dec,Jan,Beyond
,,=== DIVORCE MEDIATION HUB CLUSTER (28 URLs / 27 child links / 19 on-hub topics / 7 not surfaced) ===,,,,,,,,,,
,,"Core Service Hub Page
- Divorce Mediation (L1 Main Practice Hub - Optimize, Expand & Build All H2 Sections)","URL: /divorce-mediation/ (existing page - optimize and expand)
Scope: complete V4 hub build - page frame plus all SIX H2 section modules on this one URL. This page must be finished before the 27 expansion pages are briefed, so every child page has a live parent section and a prepared anchor slot to publish into.

PAGE FRAME (8 hrs)
  - Rebuild the page opening to V4 format: unlinked H1 Divorce Mediation, 2-3 paragraph overview, trust proof, primary CTA, and an optional jump-link table of contents pointing to the six H2 section IDs.
  - Target 1,800-2,800 words on the hub itself.
  - Establish the six approved H2 topic sections on this single URL. Topic groups are internal organizational labels only - do not create secondary child hubs or group URLs.
  - Show roughly 6-10 featured child cards plus organized text-link modules.
  - Confirm all 27 approved standalone children in this cluster carry a required return link to this hub.
Owner: SEO Strategist + Legal SME. Guardrail: state legal information, not individual legal advice; both spouses remain decision-makers.

H2 SECTION 1 - Compare Divorce Mediation With Other Divorce Options (3 hrs)
  Internal group: Options, Alternatives & Legal Pathways - internal label only, never the public heading
  - Unlinked H2: Compare Divorce Mediation With Other Divorce Options
  - 1-2 sentence section introduction
  - 2 featured cards, each a linked H3 card title plus one sentence: Mediation vs Litigation; Divorce Mediator vs Divorce Attorney
  - 1 supporting page as a compact descriptive text link (exact page title as anchor): Mediation vs Collaborative Divorce
  - 2 section-first topics written directly on the hub as unlinked H3/H4 content, 150-450 words each: Legal Separation Mediation; Mediation vs Uncontested Divorce
  Do not link the H2. Do not create child URLs for the section-first topics. Do not surface Annulment Mediation (governance: do not build).

H2 SECTION 2 - When Divorce Mediation Works and When It May Not (4 hrs)
  Internal group: Suitability, Participation & Safety - internal label only, never the public heading
  - Unlinked H2: When Divorce Mediation Works and When It May Not
  - 1-2 sentence section introduction
  - 2 featured cards (linked H3 + one sentence): Is Divorce Mediation Right for Us?; When Mediation May Not Be Appropriate
  - 4 supporting descriptive text links: Can Mediation Work If We Disagree?; High-Conflict Divorce Mediation; Divorce Mediation When Communication Is Difficult; Divorce Mediation When One Spouse Is Reluctant
  - 6 section-first / FAQ topics written on the hub as unlinked H3/H4 content, 150-450 words each: Divorce Mediation When Spouses Disagree About Everything; When Divorce Mediation Works Best; How to Talk to Your Spouse About Mediation; Divorce Mediation With an Addicted Spouse; Divorce Mediation When One Spouse Refuses to Sign; Mediation When One Spouse Has Not Responded
  Keep Mediation Suitability Quiz off the live page until approved. Do not surface Protective Orders and Divorce Mediation, Restraining Orders / Orders of Protection, or Domestic Violence Divorce Mediation.
  Guardrail: explicitly address coercive control, violence, hidden assets, and urgent court needs; include hotline and court self-help resources. Mandatory legal review.

H2 SECTION 3 - How the Divorce Mediation Process Works (3 hrs)
  Internal group: Process, Timing & Representation - internal label only, never the public heading
  - Unlinked H2: How the Divorce Mediation Process Works
  - 1-2 sentence section introduction
  - 1 featured card (linked H3 + one sentence): Mediation After Filing for Divorce
  - 3 supporting descriptive text links: Mediation Before Filing for Divorce; Mediation With Attorneys Involved; Mediation for Self-Represented Couples
  - 2 section-first / FAQ topics written on the hub as unlinked H3/H4 content, 150-450 words each: Partial Agreement Mediation; Divorce by Publication / Missing Spouse Mediation
  Keep Fast Divorce Mediation off this module until the /quick-divorce-arizona/ audit and consolidation decision is complete.
  Guardrail: do not instruct parties to ignore court orders or deadlines; do not overpromise full settlement.

H2 SECTION 4 - Divorce Mediation for Parents and Families (4 hrs)
  Internal group: Families & Parenting Situations - internal label only, never the public heading
  - Unlinked H2: Divorce Mediation for Parents and Families
  - 1-2 sentence section introduction
  - 1 featured card (linked H3 + one sentence): Divorce Mediation With Children
  - 2 supporting descriptive text links: Arizona Divorce Mediation for Parents Guide; Divorce and Children Resource Hub
  - 4 section-first / FAQ topics written on the hub as unlinked H3/H4 content, 150-450 words each: Divorce Mediation for Blended Families; Divorce Mediation With a Disabled Spouse or Child; Divorce Mediation for LGBTQ+ Parents; Divorce Mediation During Pregnancy
  Cross-link this module to the Child Custody Mediation and Parenting Plan Mediation hubs so parenting intent is routed, not duplicated.
  Guardrail: use disability-sensitive and inclusive language; do not overgeneralize. Legal review required for pregnancy-related timing statements.

H2 SECTION 5 - Divorce Mediation for Complex and Unique Situations (4 hrs)
  Internal group: Specific Divorce Situations - internal label only, never the public heading
  - Unlinked H2: Divorce Mediation for Complex and Unique Situations
  - 1-2 sentence section introduction
  - 1 featured card (linked H3 + one sentence): High-Asset Divorce Mediation
  - 6 supporting descriptive text links: Amicable Divorce Mediation; Uncontested Divorce Mediation; Gray Divorce Mediation; Gray Divorce Financial Checklist; Same-Sex Divorce Mediation; Military Divorce Mediation
  - 5 section-first / FAQ topics written on the hub as unlinked H3/H4 content, 150-450 words each: Divorce Mediation When One Spouse Is in Another State; Divorce Mediation After Infidelity; Divorce Mediation After 50; Divorce Mediation for Second Marriages; Divorce Mediation With an Incarcerated Spouse
  Guardrail: avoid fault-based framing in Arizona's no-fault context; jurisdiction statements require legal review.

H2 SECTION 6 - Arizona Divorce Mediation Guides, Checklists, and FAQs (2 hrs)
  Internal group: Guides, Tools & FAQs - internal label only, never the public heading
  - Unlinked H2: Arizona Divorce Mediation Guides, Checklists, and FAQs
  - 1-2 sentence section introduction
  - 1 featured card (linked H3 + one sentence): Arizona Divorce Mediation Guide
  - 3 supporting descriptive text links: Questions to Ask a Divorce Mediator; Divorce Mediation FAQ; Glossary of Arizona Divorce Mediation Terms
  - No section-first or FAQ topics in this module.
  Do not surface Questions to Ask a Divorce Mediator - Consolidated Resource Alias (governance: consolidate into the canonical page, no second URL).

PUBLISHING SEQUENCE
- Phase 1 (this row): publish the page frame, every H2 heading, every section introduction, and every unlinked on-hub H3/H4 topic. Those need no child URLs and go live immediately.
- Phase 2 (this row): stage the featured-card and text-link slots for each approved child page. Where the child page is already live, activate the link now. Where it is not, leave the slot built but unpublished.
- Phase 3 (expansion page rows): as each child page publishes, switch on its prepared card or anchor. No hub rebuild required - the section already exists.","Concentrates authority for the highest-value head term in the account on one canonical URL instead of splitting it across near-duplicate pages. A correctly structured hub gives Google and AI retrieval systems a clean topical map of the entire divorce cluster, distributes internal PageRank to every approved child page, and lifts the hub's own eligibility for competitive Arizona divorce mediation queries. Strong on-hub organization also improves dwell and in-page navigation, feeding NavBoost-style behavioral signals back into every page beneath it. Building the page frame and all six H2 sections as one deliverable means the hub is structurally complete before any expansion page is written, so each child page publishes into a section that already ranks and already passes internal authority - rather than arriving as an orphan that triggers a hub rewrite.",,,28,,,,,
,,"Core Comparison Content Page
- Mediation vs Litigation (Divorce Mediation - Featured H3 Card)","URL: /divorce-mediation/mediation-vs-litigation/ (existing page - optimize and expand)
- Comparison Page Brief, 1,300-2,200 words. Tier 2, Wave 1, Priority High.
- Cover cost, timeline, privacy, decision control, emotional load, and the case types each process genuinely suits.
- Required return link to Divorce Mediation. Internal links: Divorce Mediation; Pricing; How Mediation Works; When Mediation May Not Be Appropriate.
- Placement: featured linked H3 card in the Compare Divorce Mediation With Other Divorce Options module.
Guardrail: do not denigrate courts or attorneys; explain the cases each process fits. Requires Arizona legal review and mediator-neutrality language.","The single highest-intent comparison in the divorce cluster and a frequent citation source when AI systems explain process differences. Strengthening it captures users at the exact moment they choose a path, and featured-card placement passes hub authority to the page most likely to turn a researcher into a consultation.",,,,,,4,,
,,"Core Comparison Content Page
- Divorce Mediator vs Divorce Attorney (Divorce Mediation - Featured H3 Card)","URL: /divorce-mediation/divorce-mediator-vs-divorce-attorney/ (existing page - optimize and expand)
- Comparison Page Brief, 1,300-2,200 words. Tier 2, Wave 1, Priority High.
- Clarify role, neutrality, scope of service, who advises whom, and when independent counsel is appropriate.
- Required return link to Divorce Mediation. Internal links: Independent Legal Review After Mediation; Pricing; Free Consultation.
- Placement: featured linked H3 card in the Compare Divorce Mediation With Other Divorce Options module.
Guardrail: do not imply lawyers are unnecessary; encourage independent counsel where appropriate.","Resolves the primary objection that stalls mediation inquiries - whether a neutral is enough without a lawyer. Explicit role definition is exactly the structured explanation AI systems reward when answering mediator-versus-attorney questions, and it pre-qualifies users on process fit so fewer unsuitable inquiries reach the consult calendar.",,,,,,4,,
,,"Core Comparison Content Page
- Mediation vs Collaborative Divorce (Divorce Mediation - Supporting Text Link)","URL: /divorce-mediation/mediation-vs-collaborative-divorce/ (new build)
- Comparison Page Brief, 1,300-2,200 words. Tier 4, Wave 3, Priority Medium.
- Compare professional team structure, cost, timeline, confidentiality, and what happens if the process breaks down.
- Required return link to Divorce Mediation. Internal links: Divorce Mediation; Pricing; How Mediation Works; Free Consultation.
- Placement: compact descriptive text link (exact page title as anchor) in the Compare Divorce Mediation With Other Divorce Options module.
Guardrail: do not disparage collaborative professionals.","Collaborative divorce is the closest substitute service and the one comparison Aurit does not currently own. Publishing it closes the last gap in the alternative-dispute-resolution cluster, gives search engines an explicit differentiation signal, and intercepts high-value prospects who have already ruled out court but have not chosen a provider.",,,,,,,,4
,,"Core Comparison Content Page
- Is Divorce Mediation Right for Us? (Divorce Mediation - Featured H3 Card)","URL: /divorce-mediation/is-divorce-mediation-right-for-us/ (new build)
- Comparison Page Brief, 1,300-2,200 words. Tier 2, Wave 1, Priority Highest.
- Build a self-screening framework: what supports a productive process, what does not, and what to do instead when mediation is not the right fit.
- Required return link to Divorce Mediation. Internal links: When Divorce Mediation Works Best; When Mediation May Not Be Appropriate; Free Consultation.
- Placement: featured linked H3 card in the When Divorce Mediation Works and When It May Not module.
Guardrail: explicitly discuss coercive control, violence, hidden assets, and urgent court needs. Requires legal review.","Captures the exact question most prospects ask before they contact anyone, making it the highest-leverage top-of-funnel asset in the cluster. Self-qualification content converts above average because users arrive already reassured, and its question-form framing makes it the page most likely to be surfaced when AI systems answer whether a specific situation suits mediation.",,,,,,4,,
,,"Core Comparison Content Page
- When Mediation May Not Be Appropriate (Divorce Mediation - Featured H3 Card)","URL: /divorce-mediation/when-mediation-may-not-be-appropriate/ (new build)
- Comparison Page Brief, 1,300-2,200 words. Tier 2, Wave 1, Priority Highest.
- Cover coercion and control dynamics, safety concerns, concealed assets, capacity issues, and urgent court relief.
- Required return link to Divorce Mediation. Internal links: Domestic Violence Resources; Independent Legal Review After Mediation; Free Consultation.
- Placement: featured linked H3 card in the When Divorce Mediation Works and When It May Not module.
Guardrail: primary safety and legal guardrail page for the site. Include hotline, emergency, and court self-help resources plus explicit emergency language. Mandatory legal review before publishing.","Functions as the firm's public disqualification and safety guardrail, which is both an ethical requirement and a strong E-E-A-T signal in a YMYL category. Search and AI systems weight a provider's willingness to state when its service does not apply as a trust marker, and internally the page deflects unsuitable inquiries before they consume consult capacity.",,,,,,4,,
,,"Core Comparison Content Page
- Can Mediation Work If We Disagree? (Divorce Mediation - Supporting Text Link)","URL: /divorce-mediation/can-mediation-work-if-we-disagree/ (new build)
- Comparison Page Brief, 1,300-2,200 words. Tier 2, Wave 1, Priority High.
- Separate ordinary disagreement from coercion and safety risk; explain how a neutral structures conflict and keeps negotiation productive.
- Required return link to Divorce Mediation. Internal links: Divorce Mediation When Communication Is Difficult; High-Conflict Divorce Mediation; Is Divorce Mediation Right for Us?
- Placement: compact descriptive text link in the When Divorce Mediation Works and When It May Not module.
Guardrail: balanced - disagreement is mediable, coercion and safety concerns are not.","Addresses the most common self-disqualifying belief among otherwise qualified prospects, recovering demand that would otherwise default straight to litigation. Question-form headings map closely to conversational and voice queries, improving retrieval in AI answers where the user frames the problem as a doubt rather than a service search.",,,,,,,4,
,,"Live Page V4 Retrofit
- High-Conflict Divorce Mediation (Divorce Mediation - Supporting Text Link)","URL: /divorce-mediation/high-conflict-divorce-mediation/ - page already published (ClickUp 86b9330x8, marked Complete). Retrofit only, no new draft:
- Add or verify the required return link to the Divorce Mediation hub.
- Add or verify sibling links: Can Mediation Work If We Disagree?; Divorce Mediation When Communication Is Difficult; When Mediation May Not Be Appropriate.
- Verify the suitability limit language: high conflict is not the same as coercion or safety risk.
- Place as a compact descriptive text link in the When Divorce Mediation Works and When It May Not module, using the exact page title as anchor text.","Converts an already-published asset into a properly wired cluster node. Return links and sibling links are what turn isolated situational pages into a cluster Google recognizes as a unit, and correct anchor placement on the hub delivers authority the page is not currently receiving.",,,1,,,,,
,,"Core Situational Content Page
- Divorce Mediation When Communication Is Difficult (Divorce Mediation - Supporting Text Link)","URL: /divorce-mediation/divorce-mediation-when-communication-is-difficult/ (new build)
- Situation / Use-Case Brief, 1,100-1,900 words. Tier 3, Wave 1, Priority High.
- Cover shuttle and caucus formats, structured turn-taking, written proposals, and pacing when direct conversation has broken down.
- Required return link to Divorce Mediation. Internal links: Divorce Mediation; Pricing; How Mediation Works; Free Consultation.
- Placement: compact descriptive text link in the When Divorce Mediation Works and When It May Not module.
Guardrail: do not imply mediation fixes abusive dynamics.","Targets a distinct behavioral cluster that Google separates from general high-conflict divorce queries. Explaining concrete process mechanics for poor communicators makes Aurit retrievable for a large group of searchers who assume they are ineligible, and the process detail is the kind of structured explanation AI systems prefer to cite.",,,,,,,4,
