
Hub,H2 / Section,Page or Asset,Coverage,Best Current Live URL,Action,Optimize?,What to Change,Final URL,Old URL(s) to Redirect,Why This URL,Live Card Exists?
Child Custody Mediation,"Child Custody, Legal Decision-Making, and Your Child’s Best Interests",Legal Decision-Making Mediation,Partial,https://auritmediation.com/new-child-custody-law-arizona/,Create new,Yes,"Keep this page as a content-improvement candidate. Expand it so it clearly owns legal-decision-making mediation, align the title/H1 with the final card title, add a contextual link back to Child Custody Mediation, and rerun Link-In before activating the card.",N/A — candidate not Link-In approved,N/A — URL decisions stay in Stage 3,"Its live title, “Arizona Courts to Divorced Parents: Agree or Lose Your Rights,” is related, but it does not clearly own legal-decision-making mediation. It is useful for optimization, not a safe destination for this card today.",Yes
Child Custody Mediation,"Child Custody, Legal Decision-Making, and Your Child’s Best Interests",Legal Decision-Making vs Parenting Time,No Match,No suitable live URL,Create new,No,Flag “Need a page built” for the later content stage. Keep this required card visible but unlinked; do not assign or propose a URL in this task.,N/A — no eligible destination,N/A — URL decisions stay in Stage 3,"No current live page directly serves a clear legal-decision-making-versus-parenting-time comparison; the current parenting-plan page does not directly provide that comparison. Using the parent hub, a broad guide, or an adjacent article would make this card look more specific than its destination.",Yes
Child Custody Mediation,"Child Custody, Legal Decision-Making, and Your Child’s Best Interests",Best Interests of the Child in Mediation,Partial,https://auritmediation.com/creating-child-friendly-parenting-plans-arizona-mediation/,Keep & optimize,Yes,"Keep this page as a content-improvement candidate. Expand it so it clearly owns best-interests considerations in mediation, align the title/H1 with the final card title, add a contextual link back to Child Custody Mediation, and rerun Link-In before activating the card.",N/A — candidate not Link-In approved,N/A — URL decisions stay in Stage 3,"Its live title, “Child-Friendly Parenting Plans in Arizona,” is related, but it does not clearly own best-interests considerations in mediation. It is useful for optimization, not a safe destination for this card today.",Yes
Child Custody Mediation,Child Custody Mediation for Co-Parenting and High-Conflict Disputes,High-Conflict Co-Parenting Mediation,Partial,https://auritmediation.com/high-conflict-divorce-mediation-arizona/,Keep & optimize,Yes,"Keep this page as a content-improvement candidate. Expand it so it clearly owns high-conflict co-parenting mediation, align the title/H1 with the final card title, add a contextual link back to Child Custody Mediation, and rerun Link-In before activating the card.",N/A — candidate not Link-In approved,N/A — URL decisions stay in Stage 3,"Its live title, “Mediation Strategies for High-Conflict Arizona Divorces,” is related, but it does not clearly own high-conflict co-parenting mediation. It is useful for optimization, not a safe destination for this card today.",Yes
Child Custody Mediation,Child Custody Mediation for Co-Parenting and High-Conflict Disputes,Co-Parent Communication Mediation,Partial,https://auritmediation.com/arizona-co-parenting-agreements/,Keep & optimize,Yes,"Keep this page as a content-improvement candidate. Expand it so it clearly owns co-parent communication mediation, align the title/H1 with the final card title, add a contextual link back to Child Custody Mediation, and rerun Link-In before activating the card.",N/A — candidate not Link-In approved,N/A — URL decisions stay in Stage 3,"Its live title, “Co-Parenting Agreements in Arizona: A Mediator's Guide,” is related, but it does not clearly own co-parent communication mediation. It is useful for optimization, not a safe destination for this card today.",Yes
Child Custody Mediation,Child Custody Mediation for Co-Parenting and High-Conflict Disputes,Mediation for Parents Who Disagree,No Match,No suitable live URL,Create new,No,Flag “Need a page built” for the later content stage. Keep this required card visible but unlinked; do not assign or propose a URL in this task.,N/A — no eligible destination,N/A — URL decisions stay in Stage 3,"No current live page directly serves a standalone path for parents who disagree. Using the parent hub, a broad guide, or an adjacent article would make this card look more specific than its destination.",Yes
Child Custody Mediation,Relocation and Changes to Existing Child Custody Orders,Relocation Discussions in Mediation,No Match,No suitable live URL,Create new,No,Flag “Need a page built” for the later content stage. Keep this required card visible but unlinked; do not assign or propose a URL in this task.,N/A — no eligible destination,N/A — URL decisions stay in Stage 3,"No current live page directly serves relocation discussions in mediation. Using the parent hub, a broad guide, or an adjacent article would make this card look more specific than its destination.",Yes
Child Custody Mediation,"Child Custody, Legal Decision-Making, and Your Child’s Best Interests",Arizona's Two Custody Concepts at a Glance,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Child Custody Mediation,"Child Custody, Legal Decision-Making, and Your Child’s Best Interests",Decision-Making for School and Medical Issues,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
Child Custody Mediation,Child Custody Mediation for Co-Parenting and High-Conflict Disputes,Custody When a Parent Has Addiction Concerns,N/A — on-hub only,N/A — no outbound destination required,Keep as-is,No,"Keep this topic on the parent hub. If the live design makes it look clickable, remove the external-link treatment rather than forcing a weak destination.",N/A — no outbound destination required,N/A — URL decisions stay in Stage 3,The approved structure treats this as on-hub information. An outbound page is optional only when a later destination clearly earns the link.,Yes
