
Hub,H2 / Section,Page or Asset,Coverage,Best Current Live URL,Action,Optimize?,What to Change,Why This URL,Live Card Exists?,Live Link Status,QA Verdict
Divorce Mediation,Compare Divorce Mediation With Other Divorce Options,Mediation vs Litigation,Full,https://auritmediation.com/divorce-mediation-vs-litigation/,Keep & optimize,Yes,"Keep this page, then align its title/H1 with “Mediation vs Litigation” where needed, confirm it is self-canonical and evergreen, add a contextual link back to Divorce Mediation, and rerun Link-In before activating the card.","Its live title, “Divorce Mediation vs Litigation: Which is Best for You?,” directly serves a direct mediation-versus-litigation decision. It is the strongest current candidate, but it is not approved until title, canonical, evergreen, and parent-return-link checks pass.",Yes,Not linked,Hold as placeholder — Link-In verification required
Divorce Mediation,Compare Divorce Mediation With Other Divorce Options,Divorce Mediator vs Divorce Attorney,Full,https://auritmediation.com/divorce-mediator/,Keep & optimize,Yes,"Keep this page, then align its title/H1 with “Divorce Mediator vs Divorce Attorney” where needed, confirm it is self-canonical and evergreen, add a contextual link back to Divorce Mediation, and rerun Link-In before activating the card.","Its live title, “Divorce mediators vs. attorneys: Differences, benefits, and more,” directly serves a direct mediator-versus-attorney choice. It is the strongest current candidate, but it is not approved until title, canonical, evergreen, and parent-return-link checks pass.",Yes,Not linked,Hold as placeholder — Link-In verification required
Divorce Mediation,Compare Divorce Mediation With Other Divorce Options,Mediation vs Collaborative Divorce,Partial,https://auritmediation.com/collaborative-divorce/,Keep & optimize,Yes,"Keep this page as a content-improvement candidate. Expand it so it clearly owns a direct mediation-versus-collaborative-divorce comparison, align the title/H1 with the final card title, add a contextual link back to Divorce Mediation, and rerun Link-In before activating the card.","Its live title, “What is Collaborative Divorce & How it Works,” is related, but it does not clearly own a direct mediation-versus-collaborative-divorce comparison. It is useful for optimization, not a safe destination for this card today.",Yes (title changed),Not linked,Hold as placeholder — intent only partial
Divorce Mediation,When Divorce Mediation Works and When It May Not,Is Divorce Mediation Right for Us?,Partial,https://auritmediation.com/divorce-mediation-guide/,Keep & optimize,Yes,"Keep this page as a content-improvement candidate. Expand it so it clearly owns a focused suitability decision for a couple considering mediation, align the title/H1 with the final card title, add a contextual link back to Divorce Mediation, and rerun Link-In before activating the card.","Its live title, “Divorce Mediation Guide,” is related, but it does not clearly own a focused suitability decision for a couple considering mediation. It is useful for optimization, not a safe destination for this card today. The broad guide is also considered for the comprehensive guide card. It may support this separate suitability decision only if the grouped user path remains clear after Link-In review.",Yes,No link needed (by design),Hold as placeholder — intent only partial
Divorce Mediation,When Divorce Mediation Works and When It May Not,When Mediation May Not Be Appropriate,Partial,https://auritmediation.com/how-mediation-works/,Keep & optimize,Yes,"Keep this page as a content-improvement candidate. Expand it so it clearly owns the circumstances in which mediation may be unsuitable, align the title/H1 with the final card title, add a contextual link back to Divorce Mediation, and rerun Link-In before activating the card.","Its live title, “How Divorce Mediation Works,” is related, but it does not clearly own the circumstances in which mediation may be unsuitable. It is useful for optimization, not a safe destination for this card today.",Yes,Already linked correctly,Hold as placeholder — intent only partial
Divorce Mediation,When Divorce Mediation Works and When It May Not,Can Mediation Work If We Disagree?,Partial,https://auritmediation.com/divorce-mediation/contested-divorce-mediation/,Keep & optimize,Yes,"Keep this page as a content-improvement candidate. Expand it so it clearly owns whether disagreement can still be managed productively in mediation, align the title/H1 with the final card title, add a contextual link back to Divorce Mediation, and rerun Link-In before activating the card.","Its live title, “Contested Divorce Mediation in Arizona,” is related, but it does not clearly own whether disagreement can still be managed productively in mediation. It is useful for optimization, not a safe destination for this card today.","Yes (as ""Contested Divorce Mediation"")",Not linked,Hold as placeholder — intent only partial
Divorce Mediation,When Divorce Mediation Works and When It May Not,High-Conflict Divorce Mediation,Partial,https://auritmediation.com/high-conflict-divorce-mediation-arizona/,Keep & optimize,Yes,"Keep this page as a content-improvement candidate. Expand it so it clearly owns a high-conflict mediation service path, align the title/H1 with the final card title, add a contextual link back to Divorce Mediation, and rerun Link-In before activating the card.","Its live title, “Mediation Strategies for High-Conflict Arizona Divorces,” is related, but it does not clearly own a high-conflict mediation service path. It is useful for optimization, not a safe destination for this card today.",No,N/A,Hold as placeholder — intent only partial
Divorce Mediation,When Divorce Mediation Works and When It May Not,Divorce Mediation When Communication Is Difficult,Partial,https://auritmediation.com/high-conflict-divorce-mediation-arizona/,Keep & optimize,Yes,"Keep this page as a content-improvement candidate. Expand it so it clearly owns communication breakdown during mediation, align the title/H1 with the final card title, add a contextual link back to Divorce Mediation, and rerun Link-In before activating the card.","Its live title, “Mediation Strategies for High-Conflict Arizona Divorces,” is related, but it does not clearly own communication breakdown during mediation. It is useful for optimization, not a safe destination for this card today. The high-conflict page is also considered for a high-conflict card. It may serve this related communication path only if the distinction remains useful to the visitor after Link-In review.",No,N/A,Hold as placeholder — intent only partial
Divorce Mediation,When Divorce Mediation Works and When It May Not,Divorce Mediation When One Spouse Is Reluctant,Full,https://auritmediation.com/talk-with-your-spouse-about-divorce-mediation/,Keep & optimize,Yes,"Keep this page, then align its title/H1 with “Divorce Mediation When One Spouse Is Reluctant” where needed, confirm it is self-canonical and evergreen, add a contextual link back to Divorce Mediation, and rerun Link-In before activating the card.","Its live title, “How to Talk With Your Spouse About Divorce Mediation,” directly serves how to discuss mediation with a reluctant spouse. It is the strongest current candidate, but it is not approved until title, canonical, evergreen, and parent-return-link checks pass.",No,N/A,Hold as placeholder — Link-In verification required
Divorce Mediation,How the Divorce Mediation Process Works,Mediation After Filing for Divorce,Full,https://auritmediation.com/divorce-is-already-filed-can-i-choose-mediation/,Keep & optimize,Yes,"Keep this page, then align its title/H1 with “Mediation After Filing for Divorce” where needed, confirm it is self-canonical and evergreen, add a contextual link back to Divorce Mediation, and rerun Link-In before activating the card.","Its live title, “My Divorce Is Already Filed: Can I Still Choose Mediation?,” directly serves using mediation after a divorce has already been filed. It is the strongest current candidate, but it is not approved until title, canonical, evergreen, and parent-return-link checks pass.",Yes,Not linked,Hold as placeholder — Link-In verification required
Divorce Mediation,How the Divorce Mediation Process Works,Mediation Before Filing for Divorce,Partial,https://auritmediation.com/how-to-prepare-for-divorce-mediation/,Keep & optimize,Yes,"Keep this page as a content-improvement candidate. Expand it so it clearly owns whether and how mediation can begin before filing, align the title/H1 with the final card title, add a contextual link back to Divorce Mediation, and rerun Link-In before activating the card.","Its live title, “Preparing for Divorce Mediation: Divorce without the Courts,” is related, but it does not clearly own whether and how mediation can begin before filing. It is useful for optimization, not a safe destination for this card today.",No,N/A,Hold as placeholder — intent only partial
Divorce Mediation,How the Divorce Mediation Process Works,Mediation With Attorneys Involved,No Match,No suitable live URL,Create new,No,Flag “Need a page built” for the later content stage. Keep this required card visible but unlinked; do not assign or propose a URL in this task.,"No current live page directly serves how mediation works when attorneys are involved; the current mediator-versus-attorney page does not directly cover that workflow. Using the parent hub, a broad guide, or an adjacent article would make this card look more specific than its destination.",No,N/A,Hold as placeholder — no suitable live destination
