Brief Identity,,,,,,,"Audience, Trigger & AI Intent",,,,,,,Writer Instructions & Scope,,,,,,"Cannibalization, Planned Support & Linking"
Plan ID,Core Authority Page,Core URL,Priority,Content Type,Evergreen Working Title / H1,Suggested URL,Primary Target Audience,Secondary Audience,Journey Stage,User Trigger / Problem,Primary Conversational AI Query,Supporting AI Queries,Primary Search / AI Intent,Required Opening Answer Direction,Answer Promise / Writing Objective,Recommended H2 Outline,Must Cover,Must Not Cover,Explicit Cannibalization Boundary,Closest Planned Page (Automated QA),Closest Planned URL (Automated QA),Planned Lexical Similarity (QA Only),Exact Planned Title Match?,Planned Pages Supported,Primary Internal Link
D-01,Divorce Mediation,/divorce-mediation/,P1,Process explainer,What Happens Between Divorce Mediation Sessions?,/divorce-mediation/between-divorce-mediation-sessions/,Arizona spouses who have started mediation and want to know what work happens outside scheduled meetings,Couples comparing mediation providers and evaluating how organized the process will be,Mid-funnel / active mediation,"The couple understands what happens during a session but is unclear about assignments, document exchange, follow-up questions, and how decisions move forward between meetings.",What happens between divorce mediation sessions?,"Do we get homework between mediation sessions?
Can we exchange documents or proposals between meetings?
What if we remember a new issue after the session?
Will the mediator communicate with us separately between sessions?",Process expectations,"Open with a 50–75 word direct answer to: “What happens between divorce mediation sessions?” Then explain the practical between-session workflow so the reader understands what they may need to gather, review, discuss, and decide before the next meeting.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.","Explain the practical between-session workflow so the reader understands what they may need to gather, review, discuss, and decide before the next meeting.","What the mediator usually sends after a session
Common between-session assignments
How financial documents and questions are exchanged
How tentative decisions are tracked
What to do when new information or a new concern appears
How the next session agenda is built
When separate professional advice may be needed","A clear distinction between mediator follow-up and legal advice
Examples of productive homework
How both spouses receive the same process information
How unresolved items are carried forward
Privacy and communication expectations","A full explanation of the mediation process
The total divorce timeline
A general preparation checklist
Provider-specific promises Aurit cannot consistently make
Rules for ex parte communication unless confirmed by Aurit",Own only the workflow between formal sessions. /how-mediation-works/ owns the full process; What to Expect owns the live meeting; Divorce Mediation Timeline owns total duration.,#186 Military Divorce Mediation,/divorce-mediation/military-divorce-mediation/,0.089,No,"#5 Divorce Mediation | /divorce-mediation/
#72 What to Expect in Divorce Mediation | /how-mediation-works/what-to-expect-in-divorce-mediation/
#73 Divorce Mediation Timeline | /how-mediation-works/divorce-mediation-timeline/
#118 Mediation Preparation Worksheet | /how-mediation-works/mediation-preparation-worksheet/",Divorce Mediation | /divorce-mediation/
D-02,Divorce Mediation,/divorce-mediation/,P1,Scenario / process guide,How Divorce Mediators Help Couples Break an Impasse,/divorce-mediation/how-mediators-break-an-impasse/,Arizona couples already in mediation who are stuck on one or more issues,Prospective clients worried that disagreement means mediation will fail,Mid-funnel / problem-aware,The couple has reached a deadlock and wants to understand what a neutral mediator can actually do without making the decision for them.,How does a divorce mediator help when we are stuck?,"What techniques do mediators use to break a deadlock?
Can mediation continue if we cannot agree on one issue?
What happens if neither spouse will compromise?
Can we reach a partial agreement and leave one issue unresolved?",Scenario-based decision support,"Open with a 50–75 word direct answer to: “How does a divorce mediator help when we are stuck?” Then demonstrate Aurit's process expertise by explaining neutral techniques used to clarify interests, test options, sequence issues, and preserve partial progress.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.","Demonstrate Aurit's process expertise by explaining neutral techniques used to clarify interests, test options, sequence issues, and preserve partial progress.","What an impasse is and what it is not
Why couples get stuck
How a mediator separates positions from underlying interests
Option generation and trade-off building
Reality testing without giving legal advice
Using objective information or neutral experts
Taking a pause or changing the issue sequence
Documenting partial agreements
When mediation should stop","Concrete examples of impasses involving schedules, property, and support
How neutrality is preserved
Difference between helping evaluate options and deciding
When independent legal or financial advice is useful
Safety and coercion boundaries","A broad suitability test
Generic high-conflict divorce advice
A promise that every impasse can be solved
Pressure tactics or mediator manipulation
Domestic-violence situations as ordinary negotiation problems",Own techniques used after mediation is underway. Can Mediation Work If We Disagree? owns initial suitability; High-Conflict Divorce Mediation owns the broader high-conflict process; Partial Agreement remains a section on the core hub.,#38 Divorce Mediator vs Divorce Attorney,/divorce-mediation/divorce-mediator-vs-divorce-attorney/,0.158,No,"#5 Divorce Mediation | /divorce-mediation/
#39 Can Mediation Work If We Disagree? | /divorce-mediation/can-mediation-work-if-we-disagree/
#41 High-Conflict Divorce Mediation | /divorce-mediation/high-conflict-divorce-mediation/
#147 Mediator Neutrality Explainer | /about/mediator-neutrality-explainer/",Divorce Mediation | /divorce-mediation/
D-03,Divorce Mediation,/divorce-mediation/,P1,Legal / process Q&A,Can You Make Temporary Agreements During Divorce Mediation?,/divorce-mediation/temporary-agreements-during-mediation/,Arizona spouses who need practical interim arrangements while final divorce terms are still being negotiated,Parents or financially interdependent spouses considering mediation before or after filing,Mid-funnel / urgent practical need,"The couple needs short-term rules for bills, parenting, use of property, or living arrangements but is not ready to finalize the divorce.",Can spouses make temporary agreements while divorce mediation is still in progress?,"Can we temporarily agree on bills or parenting time?
Are temporary mediation agreements legally binding?
Can an interim agreement be changed later?
What is the difference between a temporary agreement and a temporary court order?",Legal clarification + practical process,"Open with a 50–75 word direct answer to: “Can spouses make temporary agreements while divorce mediation is still in progress?” Then explain the role, uses, limits, and documentation options for voluntary interim arrangements created during mediation.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.","Explain the role, uses, limits, and documentation options for voluntary interim arrangements created during mediation.","Why couples use temporary agreements
Issues commonly handled temporarily
Voluntary interim agreement vs court-issued temporary order
How terms can be documented
Duration, review dates, and expiration triggers
What happens if circumstances change
When legal review or a court order may be necessary
How temporary terms affect final negotiations","Examples involving household expenses, parenting schedules, occupancy, and document exchange
Clear statement that enforceability depends on form and legal posture
Review dates and measurable terms
Difference between temporary and final agreement","Emergency relief
Protective orders
A detailed temporary spousal-maintenance calculation
A substitute for legal advice
Claims that every mediated interim agreement is immediately enforceable",Own voluntary interim arrangements created in mediation. Temporary Spousal Maintenance owns that issue; Arizona temporary-order law belongs to legal resources; Drafting Agreements owns final settlement documents.,#110 Divorce Mediation When Spouses Disagree About Everything,/divorce-mediation/divorce-mediation-when-spouses-disagree-about-everything/,0.145,No,"#5 Divorce Mediation | /divorce-mediation/
#114 Drafting Agreements After Mediation | /how-mediation-works/drafting-agreements-after-mediation/
#102 Mediation Before Filing for Divorce | /divorce-mediation/mediation-before-filing-for-divorce/
#70 Mediation After Filing for Divorce | /divorce-mediation/mediation-after-filing-for-divorce/",Divorce Mediation | /divorce-mediation/
D-04,Divorce Mediation,/divorce-mediation/,P2,Expert-role explainer,When a Neutral Financial Specialist Joins Divorce Mediation,/divorce-mediation/neutral-financial-specialist-in-divorce-mediation/,Arizona couples with complex finances who want neutral financial clarification without hiring competing experts for every issue,"Business owners, high-asset couples, and spouses with unequal financial knowledge",Mid-funnel / solution evaluation,"The couple is unsure when a CPA, valuation professional, CDFA, or other neutral specialist should participate and how that person fits into mediation.",Can a neutral financial specialist participate in divorce mediation?,"When should a CPA join divorce mediation?
Can one financial expert help both spouses?
How does a neutral valuation expert work with a mediator?
Who pays the expert and who chooses them?",Expert-role and process clarification,"Open with a 50–75 word direct answer to: “Can a neutral financial specialist participate in divorce mediation?” Then explain when neutral financial expertise adds value, what the specialist may and may not do, and how the mediator coordinates the work.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.","Explain when neutral financial expertise adds value, what the specialist may and may not do, and how the mediator coordinates the work.","What a neutral financial specialist is
Problems that may require specialized expertise
Common specialist types and their roles
How the specialist is jointly selected
What information the specialist receives
How findings are used in mediation
Neutral expert vs each spouse's adviser
Cost, scope, and written engagement terms
When separate advice remains necessary","Role boundaries
Joint selection and conflict checks
How neutrality differs from advocacy
Examples involving business valuation, tax projections, retirement, and cash flow
How expert input supports informed decisions","Detailed business-valuation methods
Tax advice
A directory of named providers
A guarantee that one neutral expert is appropriate for every case
Attorney participation as the main topic",Own the integration of a jointly selected financial neutral. Business Valuation owns valuation methods; Appraisals and Expert Valuations owns asset valuation; Mediation With Attorneys owns lawyer participation.,#106 Gray Divorce Financial Checklist,/divorce-mediation/gray-divorce-financial-checklist/,0.092,No,"#5 Divorce Mediation | /divorce-mediation/
#40 High-Asset Divorce Mediation | /divorce-mediation/high-asset-divorce-mediation/
#52 Business Owner Divorce Mediation | /property-division-mediation/business-owner-divorce-mediation/
#174 Appraisals and Expert Valuations in Mediation | /property-division-mediation/appraisals-and-expert-valuations-in-mediation/",Divorce Mediation | /divorce-mediation/
D-05,Divorce Mediation,/divorce-mediation/,P0,AI safety / preparation guide,How to Use AI Tools Safely When Preparing for Divorce Mediation,/divorce-mediation/using-ai-to-prepare-for-divorce-mediation/,"Arizona spouses already using ChatGPT, Gemini, Perplexity, or other AI tools to organize divorce questions",Self-represented couples and clients who want to prepare efficiently,Top- to mid-funnel / emerging behavior,"The reader wants AI help but may expose confidential information, rely on hallucinated law, or mistake generic output for case-specific advice.",Can I use ChatGPT to prepare for divorce mediation?,"What divorce information is safe to put into AI?
Can AI organize my mediation questions?
How do I verify AI-generated Arizona family-law information?
Can AI summarize financial documents for mediation?","Safety, preparation, and verification","Open with a 50–75 word direct answer to: “Can I use ChatGPT to prepare for divorce mediation?” Then teach safe, limited uses of AI for organization and question development while drawing hard lines around privacy, legal advice, calculations, and document drafting.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.","Teach safe, limited uses of AI for organization and question development while drawing hard lines around privacy, legal advice, calculations, and document drafting.","Useful AI tasks before mediation
Information that should not be entered into a public AI tool
How to anonymize a question
How to ask AI for a checklist rather than a legal conclusion
How to verify Arizona law against official sources
Why calculators and court guidance outrank generated estimates
How to bring AI-generated questions into mediation
Examples of unsafe prompts
A five-step verification workflow","Privacy and retention risk
Hallucination and stale-law risk
Verification using official Arizona sources
Difference between organizing information and deciding legal rights
Examples of safe and unsafe use","Case-specific legal advice
Uploading tax returns, account numbers, medical records, children's details, or settlement drafts
Endorsing one AI product as confidential
A generic divorce-preparation checklist that competes with the planned preparation page",Own AI-assisted preparation and verification. How to Prepare for Divorce Mediation owns the complete preparation process; Legal Information vs Legal Advice owns mediator boundaries; Confidentiality owns mediation privacy.,#186 Military Divorce Mediation,/divorce-mediation/military-divorce-mediation/,0.119,No,"#5 Divorce Mediation | /divorce-mediation/
#42 How to Prepare for Divorce Mediation | /how-mediation-works/how-to-prepare-for-divorce-mediation/
#115 Confidentiality in Divorce Mediation | /how-mediation-works/confidentiality-in-divorce-mediation/
#119 Legal Information vs Legal Advice in Mediation | /how-mediation-works/legal-information-vs-legal-advice-in-mediation/",Divorce Mediation | /divorce-mediation/
D-06,Divorce Mediation,/divorce-mediation/,P1,Scenario guide,How Divorce Mediation Works When Spouses Still Live in the Same Home,/divorce-mediation/mediation-while-living-together/,Arizona spouses beginning divorce while they continue sharing a residence,"Couples delaying a move because of finances, children, a mortgage, or timing",Mid-funnel / situational,"The couple needs a workable process while daily household contact continues and conflict, privacy, and expense questions remain unresolved.",Can we start divorce mediation while we still live together?,"How do we mediate bills while sharing a home?
Can we mediate before either spouse moves out?
How do we protect privacy while living together during divorce?
Can we create house rules while the divorce is pending?",Scenario-specific process guidance,"Open with a 50–75 word direct answer to: “Can we start divorce mediation while we still live together?” Then explain how mediation can address logistics, boundaries, expenses, communication, and next steps while spouses remain under one roof.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.","Explain how mediation can address logistics, boundaries, expenses, communication, and next steps while spouses remain under one roof.","Why some spouses continue living together
When mediation can begin
Topics to stabilize first
Household expense and account rules
Private space and communication boundaries
Parenting routines in one home
Document and device privacy
Temporary arrangements
Safety screening and when shared housing is not workable
Planning the transition to two homes","Realistic expectations
Examples of neutral household protocols
Financial and parenting issues that can be discussed
Safety and coercion boundaries
Relationship between temporary and final decisions","Trial-separation advice as the main topic
Legal separation law
A full temporary-orders guide
Domestic violence as a routine communication problem
Online session technology except a brief link",Own the mediation process during continued cohabitation. Trial Separation owns a private relationship experiment; Legal Separation Mediation owns that legal service; Online same-home content owns remote-session setup.,#41 High-Conflict Divorce Mediation,/divorce-mediation/high-conflict-divorce-mediation/,0.110,No,"#5 Divorce Mediation | /divorce-mediation/
#102 Mediation Before Filing for Divorce | /divorce-mediation/mediation-before-filing-for-divorce/
#72 What to Expect in Divorce Mediation | /how-mediation-works/what-to-expect-in-divorce-mediation/
#11 Online Divorce Mediation | /virtual-online-mediation/",Divorce Mediation | /divorce-mediation/
D-07,Divorce Mediation,/divorce-mediation/,P1,Power-balance process guide,How Mediators Handle Unequal Financial Knowledge Between Spouses,/divorce-mediation/unequal-financial-knowledge/,Arizona spouses who were not the primary money manager and feel disadvantaged in financial discussions,"Couples where one spouse owns the business, controls accounts, or understands investments better",Mid-funnel / trust and suitability,The less-informed spouse wants to know how mediation can remain balanced without the mediator becoming their advocate.,Can divorce mediation work if one spouse knows much more about the finances?,"How does a mediator handle a financial knowledge imbalance?
What if only one spouse managed the money?
Can mediation require complete financial disclosure?
Should the less-informed spouse hire an adviser?","Suitability, process safeguards, and informed participation","Open with a 50–75 word direct answer to: “Can divorce mediation work if one spouse knows much more about the finances?” Then explain the procedural safeguards that support informed decision-making when financial knowledge is unequal, while being honest about the limits of mediator neutrality.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.","Explain the procedural safeguards that support informed decision-making when financial knowledge is unequal, while being honest about the limits of mediator neutrality.","Financial knowledge imbalance vs coercion or concealment
How complete disclosure supports informed decisions
Using plain-language explanations and shared documents
Slowing the process and checking understanding
Independent advice and neutral experts
Questions the less-informed spouse should ask
Red flags that require additional safeguards
When mediation may not be appropriate","Neutrality limits
Shared access to information
Document verification
Independent legal/financial review
Difference between lack of knowledge and hidden assets
Safety/coercion screening","Hidden-asset investigation
Forensic accounting instructions
A promise that the mediator protects one spouse's legal interests
Domestic violence or coercive control as an ordinary imbalance",Own process fairness when knowledge is unequal. Financial Disclosure owns required information; Hidden Assets owns transparency concerns; When Mediation May Not Be Appropriate owns disqualifying conditions.,#39 Can Mediation Work If We Disagree?,/divorce-mediation/can-mediation-work-if-we-disagree/,0.135,No,"#5 Divorce Mediation | /divorce-mediation/
#54 Financial Disclosure in Divorce Mediation | /property-division-mediation/financial-disclosure-in-divorce-mediation/
#195 Hidden Assets and Financial Transparency in Mediation | /property-division-mediation/hidden-assets-and-financial-transparency-in-mediation/
#36 When Mediation May Not Be Appropriate | /divorce-mediation/when-mediation-may-not-be-appropriate/",Divorce Mediation | /divorce-mediation/
D-08,Divorce Mediation,/divorce-mediation/,P1,Scenario / process guide,What If New Information Appears During Divorce Mediation?,/divorce-mediation/new-information-during-mediation/,"Arizona spouses who discover a new account, debt, valuation, income change, or parenting fact after negotiations have begun",Couples worried that a prior tentative decision was based on incomplete information,Mid-funnel / active problem,New facts have changed assumptions and the reader wants to know whether the process or prior agreements can be revisited.,What happens if new information comes up during divorce mediation?,"Can we reopen a tentative agreement?
What if a new debt or asset is discovered?
What if income changes before the divorce is final?
Does new information mean mediation failed?",Process correction and decision revision,"Open with a 50–75 word direct answer to: “What happens if new information comes up during divorce mediation?” Then show how mediation can pause, verify, update assumptions, revisit tentative decisions, and determine whether outside expertise is required.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.","Show how mediation can pause, verify, update assumptions, revisit tentative decisions, and determine whether outside expertise is required.","Common types of new information
Why tentative decisions are not the same as final signed terms
Immediate steps: disclose, document, and verify
How the mediator resets the agenda
When prior options should be recalculated
Using appraisals, tax advice, or legal review
Handling trust damage without turning the page into hidden-assets content
When a final agreement may require a different legal process","Distinction between honest new information and concealment
Version control for proposals
Recalculation examples without case-specific numbers
When outside review is needed
How to preserve unaffected agreements","How to investigate hidden assets
Post-decree relief after fraud
A full modification guide
Guarantees about reopening signed or filed agreements",Own new facts discovered before finalization. Hidden Assets owns suspected concealment; Updating Agreements After Divorce owns post-decree changes; Drafting Agreements owns final documents.,#186 Military Divorce Mediation,/divorce-mediation/military-divorce-mediation/,0.087,No,"#5 Divorce Mediation | /divorce-mediation/
#54 Financial Disclosure in Divorce Mediation | /property-division-mediation/financial-disclosure-in-divorce-mediation/
#114 Drafting Agreements After Mediation | /how-mediation-works/drafting-agreements-after-mediation/
#195 Hidden Assets and Financial Transparency in Mediation | /property-division-mediation/hidden-assets-and-financial-transparency-in-mediation/",Divorce Mediation | /divorce-mediation/
D-09,Divorce Mediation,/divorce-mediation/,P1,Lifestyle / agreement guide,Who Keeps the Pets? Pet Care Agreements in Arizona Divorce Mediation,/divorce-mediation/pets-in-divorce-mediation/,"Arizona divorcing spouses who share a dog, cat, horse, or other companion animal",Couples with children whose routines and attachment to the pet matter,Top- to mid-funnel / emotional practical issue,"The spouses want a humane arrangement for ownership, care, expenses, and contact even though pet decisions are not the same as child custody.",How are pets handled in Arizona divorce mediation?,"Who gets the dog in an Arizona divorce?
Can divorced spouses share pet care?
Can a mediation agreement cover vet bills and visitation?
How do we decide what is best for the pet?",Practical agreement design,"Open with a 50–75 word direct answer to: “How are pets handled in Arizona divorce mediation?” Then explain the legal classification at a high level while focusing on the broader, customized care arrangements spouses can discuss in mediation.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.","Explain the legal classification at a high level while focusing on the broader, customized care arrangements spouses can discuss in mediation.","How Arizona law generally treats pets in property division
Why mediation can address more than simple possession
Ownership and registration records
Primary residence and time-sharing options
Veterinary decisions and emergency authority
Food, grooming, boarding, and insurance costs
Travel and relocation
Children's relationship with the pet
What makes shared care workable or unworkable
How terms can be documented","Clear distinction from child custody
Evidence of ownership and expenses
Pet welfare considerations
Specific operational terms
Exit clauses if shared care fails","Calling the arrangement legal child custody or parenting time
General household-property division
Veterinary or animal-behavior advice
Promises about court enforcement","Own companion-animal arrangements. Property and Debt Division owns general property classification; Parenting Plan owns children, not animals.",#101 Arizona Divorce Mediation Guide,/divorce-mediation/arizona-divorce-mediation-guide/,0.152,No,"#5 Divorce Mediation | /divorce-mediation/
#10 Property and Debt Division Mediation | /property-division-mediation/
#114 Drafting Agreements After Mediation | /how-mediation-works/drafting-agreements-after-mediation/
#71 Divorce Mediation With Children | /divorce-mediation/divorce-mediation-with-children/",Divorce Mediation | /divorce-mediation/
D-10,Divorce Mediation,/divorce-mediation/,P2,Process Q&A,Can Divorce Mediation Be Paused and Restarted?,/divorce-mediation/pausing-and-restarting-mediation/,"Arizona couples who need time for counseling, financial analysis, a home sale, health recovery, or another major event",Clients who have already started but are unsure whether a pause means they must begin again,Mid-funnel / active mediation,"The couple needs more time or information and wants to know how a structured pause affects momentum, confidentiality, fees, and prior tentative decisions.",Can divorce mediation be paused and restarted later?,"How long can we pause mediation?
Do tentative agreements remain in place during a pause?
Will we have to start over?
What should we do before resuming?",Process expectations,"Open with a 50–75 word direct answer to: “Can divorce mediation be paused and restarted later?” Then explain when a pause may be productive, how to preserve the record of progress, and when the case should be formally closed or re-evaluated.. State the main limitation, condition, or expert boundary immediately. Do not begin with a generic definition of divorce or mediation.","Explain when a pause may be productive, how to preserve the record of progress, and when the case should be formally closed or re-evaluated.","Common reasons to pause
Short pause vs open-ended delay
What happens to tentative agreements and documents
Issues that may keep changing during the pause
How to create a restart checklist
When updated financial disclosure is needed
Re-screening suitability and safety
Fees, scheduling, and administrative expectations
When a pause is not the right solution","Practical pause plan
Date or trigger for re-evaluation
Updated-information requirements
What is and is not preserved
Need to confirm Aurit's actual administrative policy","Relationship counseling advice
Court deadline management beyond general cautions
Guarantees about preserving pricing or availability
Post-decree modification",Own the administrative and decision process of pausing active mediation. Timeline owns total duration; New Information owns changed facts; When Mediation May Not Be Appropriate owns suitability.,#186 Military Divorce Mediation,/divorce-mediation/military-divorce-mediation/,0.085,No,"#5 Divorce Mediation | /divorce-mediation/
#73 Divorce Mediation Timeline | /how-mediation-works/divorce-mediation-timeline/
#72 What to Expect in Divorce Mediation | /how-mediation-works/what-to-expect-in-divorce-mediation/
#36 When Mediation May Not Be Appropriate | /divorce-mediation/when-mediation-may-not-be-appropriate/",Divorce Mediation | /divorce-mediation/
